                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.89036,                0.47769,                 1.0271,                 0.9989,                      1,                  0.995,                0.67975,                 1.1546,                0.43647,                 1.1374,              0.0010496,              0.0010496,              0.0010496
                     50,                0.87714,                0.46069,                 1.0214,                0.99798,                      1,                  0.995,                0.71259,                 1.0741,                0.43772,                 1.0838,              0.0010298,              0.0010298,              0.0010298
                     51,                0.86222,                0.45123,                 1.0026,                      1,                0.99837,                  0.995,                0.71425,                 1.0536,                0.42008,                 1.0775,                0.00101,                0.00101,                0.00101
                     52,                0.87307,                0.44949,                  1.015,                0.99886,                      1,                  0.995,                0.69208,                 1.1734,                0.43337,                 1.1435,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88402,                0.45572,                 1.0259,                0.99899,                      1,                  0.995,                0.73039,                 1.0776,                0.41898,                 1.1001,              0.0009704,              0.0009704,              0.0009704
                     54,                0.88129,                0.43233,                 1.0199,                0.99849,                      1,                  0.995,                0.72619,                 1.0671,                0.41369,                 1.0938,              0.0009506,              0.0009506,              0.0009506
                     55,                0.88214,                0.44105,                 1.0096,                0.99899,                      1,                  0.995,                  0.705,                  1.145,                0.42583,                 1.1442,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85172,                0.42955,                 1.0013,                0.99887,                      1,                  0.995,                0.70618,                 1.1329,                 0.4298,                   1.12,               0.000911,               0.000911,               0.000911
                     57,                 0.8656,                 0.4461,                 1.0168,                0.99866,                      1,                  0.995,                0.71998,                 1.0503,                0.40032,                 1.0915,              0.0008912,              0.0008912,              0.0008912
                     58,                0.85062,                0.42942,                 1.0112,                0.99893,                      1,                  0.995,                0.73166,                 1.0836,                0.40828,                 1.1229,              0.0008714,              0.0008714,              0.0008714
                     59,                0.85176,                0.41709,                 1.0036,                0.99866,                      1,                  0.995,                0.71974,                 1.0908,                 0.4208,                 1.1226,              0.0008516,              0.0008516,              0.0008516
                     60,                0.82532,                0.43254,                 1.0007,                0.99794,                      1,                  0.995,                0.72804,                 1.0321,                0.40681,                 1.1072,              0.0008318,              0.0008318,              0.0008318
